spend,cards_seen,no_txns,date,region,category
676068.06,9547,12754,10/07/2023,Whitsundays,PKG STORES/BEER/WINE/LIQUOR
4413796.5,40300,71270,10/07/2023,Whitsundays,FOOD & GROCERY
77192.9,204,217,10/07/2023,Whitsundays,VEHICLE RENTAL
389096.62,7368,11547,10/07/2023,Whitsundays,DISCOUNT & VARIETY STORES
267558.2,2241,3455,10/07/2023,Whitsundays,ENTERTAINMENT
235624.83,663,804,10/07/2023,Whitsundays,TRAVEL AGENCIES
693584.25,12075,12088,10/07/2023,Whitsundays,HEALTH CARE & DRUG STORE
662023.8,6315,9942,10/07/2023,Whitsundays,RETAIL GOODS
214192.66,3580,4396,29/05/2023,Whitsundays,DISCOUNT & VARIETY STORES
107839.7,1140,1024,29/05/2023,Whitsundays,EDUCATION & GOVERNMENT
292966.9,4699,5863,29/05/2023,Whitsundays,HEALTH CARE & DRUG STORE
758842.2,10373,23528,29/05/2023,Whitsundays,RESTAURANTS
15877.247,158,134,29/05/2023,Whitsundays,TELECOM
297497.78,3325,5615,29/05/2023,Whitsundays,RETAIL STORES
1599517.8,22233,41422,29/05/2023,Whitsundays,FOOD & GROCERY
52495.098,690,701,29/05/2023,Whitsundays,BUSINESS TO BUSINESS
295010.7,6123,6075,29/05/2023,Whitsundays,PKG STORES/BEER/WINE/LIQUOR
108374.836,1370,2402,29/05/2023,Whitsundays,TOURIST ATTRACTIONS
420798.7,4687,10410,29/05/2023,Whitsundays,BARS/TAVERNS/LOUNGES/DISCOS
55668.723,399,563,29/05/2023,Whitsundays,TRAVEL AGENCIES
105669.4,1334,1195,29/05/2023,Whitsundays,RETAIL SERVICES
199262.19,1976,2728,2/10/2023,Whitsundays,EDUCATION & GOVERNMENT
307559.7,2874,5166,21/10/2024,Whitsundays,TOURIST ATTRACTIONS
138168.83,4231,6016,21/10/2024,Whitsundays,TRANSPORTATION
15505.871,131,153,21/10/2024,Whitsundays,TRAILER PARKS AND CAMPGROUNDS
22314.184,118,122,21/10/2024,Whitsundays,AIRLINES/AIR CARRIERS
470363.66,5937,10199,21/10/2024,Whitsundays,AUTOMOTIVE
408507.28,5618,7540,21/10/2024,Whitsundays,RETAIL GOODS
87313.78,270,236,21/10/2024,Whitsundays,VEHICLE RENTAL
3669852,32398,81970,21/10/2024,Whitsundays,FOOD & GROCERY
826458.25,9250,12172,21/10/2024,Whitsundays,HEALTH CARE & DRUG STORE
493927.53,8310,7703,21/10/2024,Whitsundays,DISCOUNT & VARIETY STORES
1155161.8,19608,32039,21/10/2024,Whitsundays,FUEL
174678.88,2447,2865,21/10/2024,Whitsundays,RETAIL SERVICES
41573.96,1017,1165,21/10/2024,Whitsundays,PROFESSIONAL SERVICES
216002.28,952,933,21/10/2024,Whitsundays,ENTERTAINMENT
231436.47,2205,2465,21/10/2024,Whitsundays,EDUCATION & GOVERNMENT
821831.56,4822,8302,21/10/2024,Whitsundays,HOME IMPROVEMENT & SUPPLY
68085.84,1345,1529,21/10/2024,Whitsundays,BUSINESS TO BUSINESS
459562.22,14645,24096,21/10/2024,Whitsundays,FAST FOOD RESTAURANTS
1042883.3,13311,23690,21/10/2024,Whitsundays,BARS/TAVERNS/LOUNGES/DISCOS
607091.25,8596,10558,21/10/2024,Whitsundays,PKG STORES/BEER/WINE/LIQUOR
1033941.44,18218,41136,21/10/2024,Whitsundays,RESTAURANTS
524110.44,8196,10553,21/10/2024,Whitsundays,RETAIL STORES
1766535.6,10264,35316,21/10/2024,Whitsundays,HOTELS/MOTELS & RESORTS
139437.39,232,346,21/10/2024,Whitsundays,TRAVEL AGENCIES
30309.7,132,146,21/10/2024,Whitsundays,TELECOM
5572.651,86,87,30/01/2023,Whitsundays,TELECOM
160083.47,1507,2397,30/01/2023,Whitsundays,RETAIL STORES
88325.875,1350,1585,30/01/2023,Whitsundays,DISCOUNT & VARIETY STORES
21631.305,224,356,30/01/2023,Whitsundays,PROFESSIONAL SERVICES
318271.12,6110,5997,30/01/2023,Whitsundays,FUEL
256162.97,3159,3403,30/01/2023,Whitsundays,HEALTH CARE & DRUG STORE
